NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA_EDUCACENSO,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2005,24,RN,2408003,Mossoró,24003581,INSTITUTO PEQUENO PRINCIPE,4,1,83,,45,,,,,,,,52.83,,,,97.6,1.6,0.8,De 61 a 90 alunos
2006,24,RN,2408003,Mossoró,24003581,INSTITUTO PEQUENO PRINCIPE,4,1,71,,51,,,,,,,,51.09,,,,,,,De 61 a 90 alunos
2007,24,RN,2408003,Mossoró,24003581,INSTITUTO PEQUENO PRINCIPE,4,1,79,,47,,,,,,,,61.35,,,,95.6,3.5,0.9,De 61 a 90 alunos
2008,24,RN,2408003,Mossoró,24003581,INSTITUTO PEQUENO PRINCIPE,4,1,76,,47,,,,,,65.05,48.43,,,,,96.4,3.2,0.4,De 61 a 90 alunos
2005,24,RN,2408003,Mossoró,24003662,COLEGIO MENINO DEUS LTDA,4,1,42,,30,,,,,,,,47.64,,,,100.0,0.0,0.0,De 31 a 60 alunos
2006,24,RN,2408003,Mossoró,24003662,COLEGIO MENINO DEUS LTDA,4,1,37,,30,,,,,,,,47.88,,,,,,,De 31 a 60 alunos
2007,24,RN,2408003,Mossoró,24003662,COLEGIO MENINO DEUS LTDA,4,1,40,,24,,,,,,,,59.31,,,,99.0,1.0,0.0,De 31 a 60 alunos
2008,24,RN,2408003,Mossoró,24003662,COLEGIO MENINO DEUS LTDA,4,1,33,,19,,,,,,64.47,42.94,,,,,92.2,7.0,0.8,De 31 a 60 alunos
2006,24,RN,2408003,Mossoró,24003824,UNIAO COLEGIO E CURSO,4,1,122,,44,,,,,,,,48.55,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24003824,UNIAO COLEGIO E CURSO,4,1,93,,32,,,,,,,,57.82,,,,99.6,0.0,0.4,Maior que 90 alunos
